JEEP,CHEROKEE,,1986,1,3914,2221,1986,42,347,20,6,5,5,2,0,150,4,L,5,7,11,5,27,1,1,5,9,0,7,L,1253,6149,Brush Guard,N/A,1043,The Aries Bar,63,63,63
JEEP,CHEROKEE,,1986,1,3914,2221,1986,42,347,20,6,5,5,2,0,150,4,L,5,7,11,7,27,1,1,5,30,0,7,L,1253,6149,Brush Guard,N/A,1043,The Aries Bar,46,46,46
JEEP,CHEROKEE,,1986,1,3914,2221,1986,42,347,20,6,5,5,2,0,150,4,L,5,8,11,5,27,1,1,5,9,0,7,L,1253,6149,Brush Guard,N/A,1043,The Aries Bar,512,512,512
JEEP,CHEROKEE,,1986,1,3914,2221,1986,42,347,20,6,5,5,2,0,150,4,L,5,8,11,7,27,1,1,5,30,0,7,L,1253,6149,Brush Guard,N/A,1043,The Aries Bar,205,205,205
JEEP,CHEROKEE,,1986,1,3914,2221,1986,42,347,20,6,5,6,2,0,173,6,,5,7,11,5,40,1,1,36,9,0,7,,884,3414,Brush Guard,N/A,1043,The Aries Bar,61,61,61
JEEP,CHEROKEE,,1986,1,3914,2221,1986,42,347,20,6,5,6,2,0,173,6,,5,7,11,7,40,1,1,36,30,0,7,,884,3414,Brush Guard,N/A,1043,The Aries Bar,45,45,45
JEEP,CHEROKEE,,1986,1,3914,2221,1986,42,347,20,6,5,6,2,0,173,6,,5,8,11,5,40,1,1,36,9,0,7,,884,3414,Brush Guard,N/A,1043,The Aries Bar,548,548,548
JEEP,CHEROKEE,,1986,1,3914,2221,1986,42,347,20,6,5,6,2,0,173,6,,5,8,11,7,40,1,1,36,30,0,7,,884,3414,Brush Guard,N/A,1043,The Aries Bar,228,228,228
JEEP,CHEROKEE,,1986,1,3914,2221,1986,42,347,20,6,6,5,2,0,126,4,L,6,8,11,5,13,1,1,53,9,0,0,L,329,3426,Brush Guard,N/A,1043,The Aries Bar,1,1,1
JEEP,LIBERTY,SPORT,2006,1,56565,18683,2006,42,353,141,6,0,0,0,0,0,0,,0,8,11,5,0,1,0,0,9,0,0,,0,0,Brush Guard,N/A,1047-2,The Aries Bar,3680,1840,3680
JEEP,CHEROKEE,LIMITED,1987,1,3968,2222,1987,42,347,13,6,5,5,4,0,242,6,L,5,8,11,5,21,1,1,7,9,0,0,L,330,3364,Brush Guard,N/A,1043,The Aries Bar,430,430,430
JEEP,CHEROKEE,,1987,1,3915,2222,1987,42,347,20,6,5,5,2,0,150,4,L,5,7,11,5,27,1,1,5,9,0,0,L,1253,6149,Brush Guard,N/A,1043,The Aries Bar,57,57,57
